/Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/venv/bin/python /Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/check_if_free.py
['acnes.se', 'free']
['afron.se', 'free']
['afros.se', 'free']
['agion.se', 'free']
['agiot.se', 'free']
['agors.se', 'free']
['akuts.se', 'free']
['alets.se', 'free']
['alkor.se', 'free']
['alkov.se', 'free']
['aloen.se', 'free']
['alpby.se', 'free']
['alrot.se', 'free']
['aluns.se', 'free']
['amids.se', 'free']
['ampre.se', 'free']
['amten.se', 'free']
['angiv.se', 'free']
['ankom.se', 'free']
['anods.se', 'free']
['anors.se', 'free']
['antog.se', 'free']
['antyd.se', 'free']
['apbur.se', 'free']
['apels.se', 'free']
['aphus.se', 'free']
['apors.se', 'free']
['argot.se', 'free']
['arisk.se', 'free']
['armod.se', 'free']
['aroms.se', 'free']
['askig.se', 'free']
['atoni.se', 'free']
['atopi.se', 'free']
['aulor.se', 'free']
['aveln.se', 'free']
['avels.se', 'free']
['avger.se', 'free']
['avges.se', 'free']
['avgud.se', 'free']
['avhys.se', 'free']
['avige.se', 'free']
['avigt.se', 'free']
['avins.se', 'free']
['avkyl.se', 'free']
['avled.se', 'free']
['avlid.se', 'free']
['avlys.se', 'free']
['avoge.se', 'free']
['avogt.se', 'free']
['avres.se', 'free']
['avser.se', 'free']
['avtog.se', 'free']
['azers.se', 'free']
['azids.se', 'free']
['azurn.se', 'free']
['azurs.se', 'free']
['baken.se', 'free']
['bakre.se', 'free']
['bakut.se', 'free']
['bales.se', 'free']
['balks.se', 'free']
['balts.se', 'free']
['banes.se', 'free']
['barms.se', 'free']
['basig.se', 'free']
['bedja.se', 'free']
['begav.se', 'free']
['begiv.se', 'free']
['beigt.se', 'free']
['bekom.se', 'free']
['benad.se', 'free']
['benas.se', 'free']
['benat.se', 'free']
['benig.se', 'free']
['beska.se', 'free']
['betad.se', 'free']
['betar.se', 'free']
['betog.se', 'free']
['betyd.se', 'free']
['bidat.se', 'free']
['biens.se', 'free']
['biets.se', 'free']
['bigar.se', 'free']
['bigat.se', 'free']
['bihus.se', 'free']
['bikts.se', 'free']
['bilad.se', 'free']
['bilan.se', 'free']
['bilat.se', 'free']
['bilor.se', 'free']
['binds.se', 'free']
['bions.se', 'free']
['bisak.se', 'free']
['bitas.se', 'free']
['biter.se', 'free']
['bitna.se', 'free']
['bitne.se', 'free']
['bjuds.se', 'free']
['blajs.se', 'free']
['bleks.se', 'free']
['blekt.se', 'free']
['blide.se', 'free']
['bliga.se', 'free']
['bligs.se', 'free']
['bloda.se', 'free']
['blods.se', 'free']
['blont.se', 'free']
['blots.se', 'free']
['blyet.se', 'free']
['blyga.se', 'free']
['blygd.se', 'free']
['blyge.se', 'free']
['blygs.se', 'free']
['blygt.se', 'free']
['boans.se', 'free']
['bocka.se', 'free']
['boern.se', 'free']
['boers.se', 'free']
['boets.se', 'free']
['bogar.se', 'free']
['bojas.se', 'free']
['boret.se', 'free']
['bovar.se', 'free']
['boven.se', 'free']
['boxat.se', 'free']
['bragt.se', 'free']
['brast.se', 'free']
['brats.se', 'free']
['breds.se', 'free']
['brevs.se', 'free']
['bruds.se', 'free']
['bryna.se', 'free']
['bryns.se', 'free']
['buade.se', 'free']
['buats.se', 'free']
['budas.se', 'free']
['budat.se', 'free']
['budon.se', 'free']
['budos.se', 'free']
['bugar.se', 'free']
['bugat.se', 'free']
['bukar.se', 'free']
['buken.se', 'free']
['bukig.se', 'free']
['bukta.se', 'free']
['bukts.se', 'free']
['bulas.se', 'free']
['bulor.se', 'free']
['bults.se', 'free']
['bunta.se', 'free']
['bunts.se', 'free']
['buras.se', 'free']
['burat.se', 'free']
['buret.se', 'free']
['burit.se', 'free']
['burks.se', 'free']
['burne.se', 'free']
['burop.se', 'free']
['burqa.se', 'free']
['busat.se', 'free']
['buset.se', 'free']
['byars.se', 'free']
['bygds.se', 'free']
['bygel.se', 'free']
['byiga.se', 'free']
['byigt.se', 'free']
['bykar.se', 'free']
['byken.se', 'free']
['byket.se', 'free']
['bylta.se', 'free']
['bylte.se', 'free']
['byxas.se', 'free']
['capen.se', 'free']
['cents.se', 'free']
['choka.se', 'free']
['codas.se', 'free']
['cords.se', 'free']
['cysta.se', 'free']
['dalts.se', 'free']
['damig.se', 'free']
['danks.se', 'free']
['degar.se', 'free']
['degas.se', 'free']
['degat.se', 'free']
['deism.se', 'free']
['deist.se', 'free']
['dejts.se', 'free']
['dekar.se', 'free']
['dekat.se', 'free']
['diats.se', 'free']
['digre.se', 'free']
['dikar.se', 'free']
['dikas.se', 'free']
['dikat.se', 'free']
['diken.se', 'free']
['dikes.se', 'free']
['dikts.se', 'free']
['dimpa.se', 'free']
['diset.se', 'free']
['divor.se', 'free']
['djonk.se', 'free']
['djupe.se', 'free']
['djups.se', 'free']
['dogms.se', 'free']
['doken.se', 'free']
['doket.se', 'free']
['dolks.se', 'free']
['dolma.se', 'free']
['dolms.se', 'free']
['dolsk.se', 'free']
['dolts.se', 'free']
['domer.se', 'free']
['domna.se', 'free']
['donas.se', 'free']
['donat.se', 'free']
['dopar.se', 'free']
['dopas.se', 'free']
['dopat.se', 'free']
['dopen.se', 'free']
['dosen.se', 'free']
['doser.se', 'free']
['drags.se', 'free']
['dravs.se', 'free']
['drevs.se', 'free']
['drivs.se', 'free']
['drogs.se', 'free']
['druls.se', 'free']
